insee_1,year_test,predicted_drought,latitude_1,longitude_1,decision_1
60139,2011,1,49.17181036507983,2.246570196924749,0
60139,2011,1,49.17181036507983,2.246570196924749,0
60139,2011,1,49.17181036507983,2.246570196924749,1
60127,2011,0,49.60255117788727,2.8009834065191983,0
60117,2011,0,49.63142360151161,2.9805668150666653,0
60107,2011,1,49.36196278665132,2.425495203978746,0
60106,2011,0,49.37800239320823,2.456430967807266,0
60178,2011,0,49.612538878259365,2.084890207738457,0
60105,2011,1,49.55968914091841,3.116579531409429,0
60139,2011,1,49.17181036507983,2.246570196924749,0
60139,2011,1,49.17181036507983,2.246570196924749,0
60139,2011,1,49.17181036507983,2.246570196924749,1
60093,2011,0,49.60803023608963,2.700978635709094,0
60091,2011,1,49.11769192256688,2.91177538081868,0
60071,2011,0,49.57707777636812,2.738995307550797,0
6007,2011,1,43.61240686696374,6.912113566569154,0
60173,2011,1,49.24894997222113,2.39573291818294,0
6010,2011,1,43.69929430883403,6.962727790511865,0
60182,2011,0,49.62089252688381,2.188690088048526,0
6014,2011,0,43.83032695466579,7.284471306288275,0
60142,2011,1,49.12129173928449,2.526593907198893,0
6015,2011,0,43.83787388120915,7.330763011019012,0
60151,2011,1,49.44208983300207,2.895672702846425,0
60156,2011,0,49.44129867052584,2.845399139698624,0
60157,2011,0,49.37771689746087,2.408917091957279,0
60176,2011,1,49.23601308878303,2.8969318205968038,0
60160,2011,0,49.60731683377483,2.73630966072027,0
60172,2011,1,49.14498740269016,2.470458568092351,0
60163,2011,0,49.642444070161,2.1966168485626,0
60169,2011,0,49.25942494637398,1.736150753469825,0
6018,2011,1,43.62765581410073,7.08318612891035,0
60069,2011,1,49.15592416217036,2.942907156152472,0
6017,2011,1,43.80362196899579,7.093571470244498,0
60139,2011,1,49.17181036507983,2.246570196924749,0
60139,2011,1,49.17181036507983,2.246570196924749,0
60139,2011,1,49.17181036507983,2.246570196924749,1
60162,2011,0,49.27725324267851,2.110612986973146,0
59659,2011,0,50.01180447779296,4.006573650601997,0
60057,2011,0,49.43655233214929,2.086161236609623,0
60057,2011,0,49.43655233214929,2.086161236609623,1
59662,2011,1,50.85032609355046,2.563730097213605,0
59662,2011,1,50.85032609355046,2.563730097213605,1
59662,2011,1,50.85032609355046,2.563730097213605,0
